Customer Number,Customer Name,Street Address,City/County,Phone Number,Sales Rep Number,Sales Rep Name,location
1041628,Aslam Agric Venture,"Shop No2, Kalambaina Road, Opp. Bashariyya Filling",Sokoto State,7039181728,407,Stephen Olushola,Sokoto State
1041629,Amijapp Farm,"Pai Road, Abuja FCT",FCT Abuja,8067725944,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041630,Holy Cross Monastery Farm,"Illah, Delta State",Delta State,8109706066,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041631,Trios Farm,"N0 4, R- Sodipo Street, Gbonagun Odo- Eran Abeokuta, Ogun",Ogun State,8032768768,5,Peter,Ogun State
1041632,Greenleed Ventures,"NO36, Sawmill Road Ijebu- Mushin , Ijebu Ogun State",Ogun State,7055663354,6,Mr Dayo,Ogun State
1041634,My Victoria Farms & Agro Allied Industry,"KM9, Umuahia - Aba Expressway Ntigba, Abia State",Abia State,8086078792,3,Ian,Abia State
1041635,Toaa System Ventures,"Directly Opposite, Begonia Hotel, Ilora Ilora Oyo State","Ilora , Oyo State",8069107512,509,Folorunso Mark Eniola,Ibadan / Oyo
1041636,Cistercian Monastery Farm,"Ahwum,Enugu State",Enugu State,8103372395,322,Kingsley Ikenna,Enugu
1041637,Diatek Agro Farms,"Off PAN Secretariat, Iyana Ajia, Egbeda, Ibadan",Oyo State,8032383876,513,Godwin Esenyie,Ibadan / Oyo
1041638,A & K Farms,"Sauka, Airport Road Abuja.",Abuja,8033505996,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041639,Bakare Farm,Abuja Express Way Kaduna,Kaduna State,8035738092,4,Stephen,Kaduna
1041640,Bakrey Global Feeds,Plot1 New Epe Garage Beside Aje Market Ijebu Ode Ogun,Ogun State,8027496949,501,Lateef,Ogun State
1041641,Surame Farm,"Along Argungu SokotoRoad, Kebbi State",Kebbi State,8035545718,407,Stephen Olushola,Kebbi State
1041642,Timothy Farm,"AbujaRoad, Kaduna",Kaduna State,8134166375,4,Stephen,Kaduna
1041643,Rumbum kifi farms,"Dorayi,kano",kano state,8132977474,407,Stephen Olushola,Kano
1041644,Ekom Farm,Cross River State,Cross River State,8032158104,3,Ian,Cross River State
1041647,Tomiwa Feedmill,"Shotomiwa Qudus, No11, Awobajo Street Gbaga Bus Stop",Lagos State,8139570635,6,Mr Dayo,Lagos
1041648,Lish Enterprise Ltd,"NO153, MM Benin City Edo State",Edo State,8065778036,3,Ian,Edo / Benin
1041649,Grandpa Farm Ltd,"Effurun- Otor, Ughelli Delta State",Delta State,8034074620,3,Ian,Delta State
1041650,Aloid Agrotech Ltd,"218, Iju Road, Iju Ishaga Lagos",Lagos State,8033746264,6,Mr Dayo,Lagos
1041651,Protanex Gold limeted,3 ikogosi street ijapo estate akure,akure,8091197599,5,Peter,Ondo State
1041652,Testimony Vet,"245 MM Way, Benin City",Edo State,7034407831,3150,Agashi Anslem Oyekachi,Edo / Benin
1041653,Sul-bam nigeria ltd,"KM 10 OGBOMOSO ILORIN OLD EXPRESSWAY, ARAROMI VILLAGE",OYO,8034804429,509,Folorunso Mark Eniola,Ibadan / Oyo
1041655,Uwadiale Farm Agro Allied Company Limited,"148, New Lagos Road, Benin City",Benin City,8033746022,3,Ian,Edo / Benin
1041656,Damjoy Ventures,"Iyana Church Area, Along Iwo Road Oyo State",Oyo State,8034545581,5,Peter,Ibadan / Oyo
1041657,Karshi Farm,"Abuja Express Way, Kagarko L.G.A, Kaduna. Kaduna State",Kaduna State,9025255154,407,Stephen Olushola,Kaduna
1041658,Crown Vet Agro,"No14 Aweto Shopping Complex Tank Junction, Rumukwurushi",Rivers state,8030469477,3,Ian,Rivers / PH
1041659,Faraba Investment,"Mando, Kaduna State",Kaduna State,7036819401,4,Stephen,Kaduna
1041660,Influence Glowlite Inv.,"NO181, AKA Etinan Road, Mbierebe Obio Uyo Makurdi State",Makurdi State,8120760688,3,Ian,Makurdi State
1041661,Owoade Farms,"Ori Eru Area, Iwo Osun State",Osun State,8034118158,5,Peter,Osun State
1041662,Emmanuel Feeds Ibadan,"Wofun Olodo Area, Ibadan Oyo Stat",Ibadan,9034678922,513,Godwin Esenyie,Ibadan / Oyo
1041663,Semekuli Farms,"Sapele , Benin Edo State",Edo State,8034697282,311,Dr.Ogunwemimo Oluwole Leken,Edo / Benin
1041664,Nagge Investment,"Km5, Along Funtua- Bakori Road, Funtua, Kastina State",Kastina State,8039362657,406,Dr.Ize Okeji,Kastina State
1041665,Sehis Agro,"Plot160, East West Road, Opposite Brainfield School",Portharcourt Rivers State,9022541225,3,Ian,Rivers / PH
1041666,Gabchucks Farm,Onitsha,Onitsha,8061292085,3,Ian,Onitsha
1041667,Yedama Livestock Farm,"No16 Gboloranmi Close, Bodija Ibadan",Ibadan,8033815521,6,Mr Dayo,Ibadan / Oyo
1041668,Godliness Feedmill,"Along Bank Road, Olodo Ibadan",Ibadan,8033250323,513,Godwin Esenyie,Ibadan / Oyo
1041669,MAtlat resource ltd,no5 ifeola olagunju street off iyana churth area,ibadan,8033350030,6,Mr Dayo,Ibadan / Oyo
104167,Animal Care,Ogere Lagos Ibadan Expressway Ogun State,Ijebu-Ode,8056293097,5,Peter,Ijebu-Ode
1041670,Qwehbenkh Enterprise,"Emene, Enugu State",Enugu State,8034050377,3,Ian,Enugu
1041671,Jmages Farms,Oluyole Estate Ibadan,Oluyole Estate Ibadan,7088654326,5,Peter,Ibadan / Oyo
1041672,Cacc Farm Ltd,"173, Emechris Sunrise Estate , Emene Enugu State",Enugu State,7056501296,3,Ian,Enugu
1041674,Nemak Vet Konsult,Opposite Maryland Estate Enugu,Enugu,8035999783,3,Ian,Enugu
1041675,Best Eerest Feedmill,"Ikorodu, Lagos State",Lagos State,7067221869,508,Mr.Adekunle Damilola,Lagos
1041677,Ologo Farms & Feedmill,"No1, Liberty Guest Inn, Imowow, Ijebu Ode Beside Alatise","Ijebu, Ogun State",8034275442,509,Folorunso Mark Eniola,Ogun State
1041678,Onos Farm,"Warri, Delta State",Delta State,8051304369,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041681,Oharisi Farm,Ughelli Delta State,Ughelli,8023848715,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041683,Beloved Farm,"Awe, Ijado Road Aba Dapo Village Oyo Town",Oyo Town,8062655526,5,Peter,Ibadan / Oyo
1041684,Agromall West Africa,Owerri Imo State,Imo State,7083120552,3,Ian,Imo State
1041686,Grace Land,Zaria Kaduna State,Kaduna State,812617998,406,Dr.Ize Okeji,Kaduna
1041687,Best Buy Ventures,Opposite Arcdem Iyana Church Monatan Ibadanl,Ibadan,8164117711,5,Peter,Ibadan / Oyo
1041688,B. W Vet,Opposite Ajibode Junction Inside Adom Building Complex,Ibadan,8056047487,513,Godwin Esenyie,Ibadan / Oyo
1041689,Tiaqoze Farms,"Oke oyo, Ejigbo , Osun State",Osun State,8057784917,509,Folorunso Mark Eniola,Osun State
104169,Emmanuel Farms Limited,"Jiboye Village Omi- Adio Ibadan , Oyo State",Ibadan,7082052008,513,Godwin Esenyie,Ibadan / Oyo
1041690,Kush Farm Integrated Service Ltd,"Behind Bigmali Masaka, Nassarrawa State",Masaka Nassarrawa State,8065341322,412,Eniolorunda Seun Emmanuel,Masaka Nassarrawa State
1041691,Fimihan Agricultural Services Limited,"Abeokuta Road, Iyana Adei Bussutop Balogun Village Odeda",Abeokuta Ogun State,8030549597,503,Tope,Ogun State
1041692,M & N Agricultural And Allied Products Ltd,"Leleya, Kwali Area Council Abuja",FCT Abuja,8065240821,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041693,Savanah Feed-kano,"N0.59, Magada Road, Kano",Kano State,8035872279,407,Stephen Olushola,Kano
1041694,Maiwaje Farm,Nufawa Kano State,Kano State,8036363944,407,Stephen Olushola,Kano
1041695,Happy Chicken,"KM12, Opposite Ratcon Lagos Ibadan Road, Ibadan Oyo State",Oyo State,9073992082,5,Peter,Ibadan / Oyo
1041696,Samrose Farm,"Oke- Atan, Ile - Ife Ilode Junction Osun State",Osun State,8035016148,502,Ogundiran Elizabeth,Osun State
1041698,Quality Farms,"Warri, Delta State",Delta State,8062414528,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041699,Osas Feedmill,"Akufo Farm Settlement, Along Eruwa Road, Oyo State","Eruwa, Oyo State",7085677883,509,Folorunso Mark Eniola,Ibadan / Oyo
104170,AMO BYNG Nig Ltd,Awe Oyo Town Oyo State,Oyo Town,8035822510,6,Mr Dayo,Ibadan / Oyo
1041700,Ajilesoro Farms,"Ibadan - Iwo Express Road Lagun , Akanakan Villiagek",Oyo State,8030629991,509,Folorunso Mark Eniola,Ibadan / Oyo
1041701,Breezes Of Excellence,"Round About Via Mowe , Lagos State",Lagos State,8039718816,5,Peter,Lagos
1041702,Kings Group,"Ogume junction, Kwale Delta State",Delta State,8037386845,3,Ian,Delta State
1041703,Nunu Farms,"Sapele, Delta State",Delta State,8032627974,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041704,T.S Farms,"Sagamu Road, Odogunyan Ikorodu Lagos State",Lagos State,8072541457,605,Dr. Abdulazeez Abiodun Oyetungi,Lagos
1041705,Citizen Of Jehovah Nig. Ltd,"No56, Sassa Road, Adikpo Benue State",Benue State,9038359920,5,Peter,Benue State
1041706,Purple Rain Farm Ltd,"Dafara, Kuje Abuja",FCT Abuja,8033119193,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041707,Folja Global Multiconcept,"NO4, Odo - Ona Nla Off Craig Idi- Ayunre Ibadan",Ibadan,80388951141,5,Peter,Ibadan / Oyo
1041708,Olomu Farms Limted,"Oke-Iyapo 1, Kwara Ilorin",Ilorin,8064732268,502,Ogundiran Elizabeth,Ilorin / Kwara
1041709,Ola Farm,"Imo, Owerri State",Owerri State,90547727533,3,Ian,Owerri State
1041710,Catchet Agro Allied,"Federal Housing Estate, Nyanya Abuja",Abuja,9073515197,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041712,Excellence Feeds,"Express Kaduna, Kaduna State",Kaduna State,8036984485,407,Stephen Olushola,Kaduna
1041714,Fast Track Farm,Olushokun Moniya Area Ojo Ibadan,Ibadan,8062728593,5,Peter,Ibadan / Oyo
1041715,Power Agro Rich Farm Resources Ltd,"Behind Guata Primary School, Keffi Nassarrawa State",Nassarrawa State,8165558425,4,Stephen,Nassarrawa State
1041716,Visionnet Biz Ventures,"Orisunbare Wire and Cable Omi- Adio Apata, Ibadan",Ibadan,8032615429,5,Peter,Ibadan / Oyo
1041718,Park Agrotech Limited Ghana,"Accra, Ghana",Ghana,233501398980,5,Peter,Ghana
1041719,El- Elohim Farm,"Olpe Meji, Off Epe- Ajah Express Road Lagos State",Lagos State,7034967151,508,Mr.Adekunle Damilola,Lagos
1041720,Unfailing Vet Services,"75, Aka Road, Uyo State",Uyo State,8178103619,3,Ian,Uyo State
1041721,Ayotunde Integrated Agric,"Idi Omo Igbo- Oloyin Road, Oojo Ibadan",Ibadan,8055952394,512,Afolabi Michael Abolade,Ibadan / Oyo
1041722,Arezt Farm,Ubulu Okiti Delta State Beside City of Hope Obadiah,Delta State,8063129696,3,Ian,Delta State
1041723,Unique Farms,Ajesan Market Oyo Town Oyo State,Oyo State,8147247429,509,Folorunso Mark Eniola,Ibadan / Oyo
1041724,Greenspace Farm,Otunba Village Near Isiun Abeokuta Ogun State,Ogun State,9062888494,501,Lateef,Ogun State
1041725,Basil Tete Farms,"No86,Ajay Road, Ogba Lagos State",Lagos State,8033234170,5,Peter,Lagos
1041726,Admusha nig . ltd,"Gagba phase 2 Sango area , Ilorin. Kwara state",Kwara State,9067132417,508,Mr.Adekunle Damilola,Ilorin / Kwara
1041727,Vertex Enterprises,"Ring Road, Ibadan Oyo State",Ibadan,8106669999,501,Lateef,Ibadan / Oyo
1041728,Facco Feeds,"Km29, Lagos- Abeokuta, Expressway Meiran, Lagos",Lagos,7030908071,6,Mr Dayo,Lagos
1041730,Annazeef Farm,"Behind, Sheik Jafar, Mohammed Gombe Yobe",Yobe Farm,80867224444,4,Stephen,Yobe Farm
1041732,Agoba Mitaire Farm,"Sapele, Town Delta State",Delta State,8100369575,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041733,Great Enocom Global Ventures,"Opposite, Oreofe Baptist Church Ajiga Filling Station",Oyo Town,813121302,509,Folorunso Mark Eniola,Ibadan / Oyo
1041734,Ajeoluwa Fish Farm,"No6, Anuoluwapo Street, Ashimolowo Mowe Lagos",Mowe Lagos,8164460808,6,Mr Dayo,Lagos
1041735,Still Waters Farm,"Near Sagamu, Owode Egba Ogun State",lagos,8034880333,508,Mr.Adekunle Damilola,Lagos
1041736,New Hope Agriculture And Technology Nig. Ltd,"No1, Logbara Village Obafemi/ Owode Local Govrt, Sagamu",Ogun State,7036638209,6,Mr Dayo,Ogun State
1041737,A.B.S Farm,Mabera Salame Area Sokoto State,Sokoto State,8136363434,407,Stephen Olushola,Sokoto State
1041738,Almod - Dega Nig Ltd,"Isheri - Oshun, Alimosho Lagos",Lagos,8035717374,5,Peter,Lagos
1041739,Warri Elia TJ farm,"Navy yard warri behind shoprite , warri town delta state",delta state,8055136507,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041740,GIEA Integrated Farm,Awka South L.G.A Anambra State,Anambra State,7038367640,3,Ian,Anambra State
1041741,Oakven Vetrinary Consultant,"Along Ife - Express Alakia, Ibadan",Ibadan,8033264147,513,Godwin Esenyie,Ibadan / Oyo
1041742,Ranozie Farm,9,Ogun State,8029667660,5110,Mr.Emmanuel Adewale Daramola,Ogun State
1041744,Godstime Poultry Farm,"UGEP Yakkure, LGA Crossriver State",Cross River State,8137787754,3,Ian,Cross River State
1041745,Almis Enterprises,"Shpo2, Obanta Shopping Complex Ketu Lagos State",Lagos State,8139454931,508,Mr.Adekunle Damilola,Lagos
1041747,Edachie Farm,"OffVom Road, NVRI Vom, Jos",JOS,8037024295,407,Stephen Olushola,Jos / Plateau
1041748,Makal Farms,"Ochie Road, Opposite Saint Joseph College Vom, Jos",Jos,8034612525,407,Stephen Olushola,Jos / Plateau
1041749,Arinze Farm,"Nnamdi Azikwe Express Road, Kaduna State",Kaduna State,8028443912,4,Stephen,Kaduna
1041750,Isiaku Agro Service,"No9, Afijumo Street Mile 12, Lagos State",Lagos State,8103565126,508,Mr.Adekunle Damilola,Lagos
1041751,Adisa Farm,"NVRI, Vom Jos State",Jos,7038902587,407,Stephen Olushola,Jos / Plateau
1041752,Mac Farm,"Vo, Off Ochie Road NVRI Jos",Jos State,8022060596,407,Stephen Olushola,Jos / Plateau
1041753,Maco Feeds Limited,Eleme Junction. Igbo Etche Road By Police Check Point,Rivers State,8110361741,3,Ian,Rivers / PH
1041754,Ceco Farms,Aminal Science Department Nsukka,Nsukka,8134375229,3,Ian,Enugu
1041755,Omojilani Farm,"Abule Ododo Off Papa Ilaro Road, Ogun State",Ogun State,8135798083,508,Mr.Adekunle Damilola,Ogun State
1041756,Forth Worth Farm,Feminist Obadine Sango Lagos,Lagos,8035631299,508,Mr.Adekunle Damilola,Lagos
1041757,Shalom Poultry Farm,"Back Aluma Oil Filling Station Premises, Expressway ,",Jos,8036930112,407,Stephen Olushola,Jos / Plateau
1041758,Aba Agro Products,Benin State,Benin State,9030699003,3,Ian,Edo / Benin
1041759,Executive Feeds,"Plot 9, Odo- Ona Kekere Ibadan",Ibadan,8062978080,513,Godwin Esenyie,Ibadan / Oyo
1041760,Rehoboth Farm,"Along Epe Ajah Express Roadd, Lagos State",Lagos State,8174594912,508,Mr.Adekunle Damilola,Lagos
1041761,Bobski Farm,"Gurku Street Mararaba, Nassarawa State",Nassarawa State,7033525391,412,Eniolorunda Seun Emmanuel,Nassarawa State
1041762,Tegazin Enterprises,"Km1, Dsc Roundabout Pot- Harcourt Rd Warri, Delta State",Delta State,8037169994,3,Ian,Delta State
1041763,Olugbon Feed & Agro- Allied Processing,"Behind Afijio Local Government Sec, Jobele Oyo, oYO sTATE",Oyo State,7069282097,509,Folorunso Mark Eniola,Ibadan / Oyo
1041764,Sunny Nao Pultry Farm,Shen Village Jos,Jos State,8033964640,407,Stephen Olushola,Jos / Plateau
1041765,Daddio'sFarm Nig Ltd,"Umuahia, Abia State",Abia State,7035924540,322,Kingsley Ikenna,Abia State
1041766,Genius Dairy Farms,"KM4, Off Iseyin Roa Iseyin Oyo State",Oyo State,8035805908,509,Folorunso Mark Eniola,Ibadan / Oyo
1041767,Afrimash Nigeria,"Ground Flour, Freedom House, General Gas Junction Akobo,",Ibadan,8082808271,513,Godwin Esenyie,Ibadan / Oyo
1041768,El- Shaddai Agric Ibadan,"NO5, Agbo Olaleye Street, Academy Bus stop Iwo- Road,",Ibadan,8033635775,5,Peter,Ibadan / Oyo
1041769,Albarka Agrovet & Poultry Feed,"Kofar Guga Roa Opposite Yalo House, Muritala Mohammed",Kastina State,8032087474,407,Stephen Olushola,Kastina State
1041770,Latter Rain Veterinary Services,"N011, Shell Roa, Off New Ogorode Road, Sapele, Delta",Delta State,8030739875,3,Ian,Delta State
1041771,Sumed Livestock Services,"Km20, Photacourt Aba Express Road, Ibiere Port Harcourt",Port Harcourt,8037965641,3,Ian,Rivers / PH
1041772,Lan- Idles Farms,"No4, Soji Oyedele Street, Church Busstop Okerube, Lagos",Lagos State,7083244410,6,Mr Dayo,Lagos
1041774,Danfodio Agric Allied,"Railway Station , Kaduna State",Kaduna State,7033377771,4,Stephen,Kaduna
1041776,God Is God Fish Farm,"NO31 & 45 Akin Coka Owoduni Liasu Road, Lagos State",Lagos State,7063008544,6,Mr Dayo,Lagos
1041777,Psalmist Agrovet,"No2, Sarki Street Mahuta Sabo, Kaduna State",Kaduna State,8062372675,4,Stephen,Kaduna
1041778,Turkey City And Agro Allied Farms,"Oguwole Village, Idi- Iroko Off Akala Express Road",Ibadan,8033205185,512,Afolabi Michael Abolade,Ibadan / Oyo
1041780,Natural Resources Development Farm,"KM13, Ugboli- Illah Road, Ugbolu Delta State",Delta State,8134976687,3,Ian,Delta State
1041781,Taro Agric Consulting,"Erefe Junction, Ilei Fe Osun State",Osun State,9070437609,509,Folorunso Mark Eniola,Osun State
1041782,Gamji Global Farm,after NACOP and lafarge cement depot tildin fulani bauchi,jos,8030535320,407,Stephen Olushola,Jos / Plateau
1041783,sinom farm,Ngwo enugu state,enugu state,80653621070,3,Ian,Enugu
1041785,dele esan farms,along the road odeda,abeokuta,8035880155,503,Tope,Abeokuta
1041786,FC & Tortsman,"No 11&13 Ochendo Road Aba, Abia State",Abia State,8036724047,3,Ian,Abia State
1041787,G. B Agro Allied Farm,"Pasali Kuje Area Council, Abuja",Abuja,9055026469,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041788,Royal Roots Agro Vet Service,"Opposite Sawmill Area, Itamaja Ikorodu Lagos",Lagos State,8053409718,5,Peter,Lagos
1041790,Springs Feedmill,"NO2, Razak Shonubi Stret Itamaga Ikorodu Lagos State",Lagos State,9067166871,508,Mr.Adekunle Damilola,Lagos
1041791,Mukas Farms,"OgijuMayor Busstop,Opposite Five Star Cement Sango Lagos",Lagos,8033820908,5,Peter,Lagos
1041792,Two Brothers Zaris,"Sokoto Road By PZ, Zaria Kaduna State",Kaduna State,8099220112,406,Dr.Ize Okeji,Kaduna
1041793,Amtech Agro Turnkey Co.Ltd,"22, East West Road, Rumukwurushi Prt Harcourt",Port Harcourt,7034443737,3,Ian,Rivers / PH
1041794,Courage Chicks farm,"Ijaiye-Iseyin road, Ibadan",Ibadan,7039793901,512,Afolabi Michael Abolade,Ibadan / Oyo
1041795,Adamu Agrovet,"Station market , Kaduna",Kaduna,8034266051,4,Stephen,Kaduna
1041796,Samdor Associates,"No6, Enilobo Cloe Arida Busustop UBA bANK lAGOS",Lagos,8037138321,5,Peter,Lagos
1041797,Sunhills Farm,"No7, Prowork Boulevard, Topp Rayfield Jos",Jos,8037211785,407,Stephen Olushola,Jos / Plateau
1041799,Faith Farm,"Oke Aro Piggery, Lagos State",Lagos State,7056021012,5,Peter,Lagos
1041800,Thesmod Company Ltd,"No22, Ibesikpo Street, Uyo Akwa Ibom State",Akwa Ibom State,7038850894,3,Ian,Akwa Ibom State
1041801,Divine Rina Farm,"Ugbolu,Asaba, Delta State",Delta State,8180642700,3,Ian,Delta State
1041802,Jarael Farms Ltd,"No15, Uwanfo Close Off, Nora Silverbird Road Off Uselu",Edo Benin State,8126278859,3,Ian,Edo / Benin
1041803,Tsagero Farm,Mani Road Katsina State,Katsina State,8032080902,407,Stephen Olushola,Katsina State
1041804,Jofez Agro,"Benson Plaza by KP Junction Ogidi, Anambra state",Anambra State,8108887841,3,Ian,Anambra State
1041805,Emmppek Farm,Eku/ Abraka Road Delta State,Delta State,8037031243,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041806,Lubrigold Farm,"Ketu Epe Road, Ogun State",Ogun State,8137220358,503,Tope,Ogun State
1041808,Naaka Farm Gusau,"Tsafe Gusau Road, Zamfara State",Zamfara State,7038393372,407,Stephen Olushola,Zamfara State
1041809,Ezekiel Farm Kaduna,"Halima Crescent, Kaduna State",Kaduna State,7066126922,4,Stephen,Kaduna
104181,Zenith Feedmills,"Opp. Western Hotel, P/H-Owerri Road PHC.",Portharcourt,9090695821,3,Ian,Rivers / PH
1041810,Dala Farm,"KM12, Kaduna Kachia Road, Opp NNPC Quarters, Kaduna State",Kaduna State,8181262115,4,Stephen,Kaduna
1041811,Nnkemakolam Farm,"Sunrise Estate Emene, Enugu State",Enugu State,8033380826,3,Ian,Enugu
1041813,CV3 Farm,"Abraka, Delta State",Delta State,8052378735,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041814,Mari Vet Clinic,"Zaramaganda Shopping Plaza, Buruku Expressway, Jos",Jos State,8069537386,407,Stephen Olushola,Jos / Plateau
1041815,Farmer Choice,Kumboso Kano State,Kano State,8035687671,407,Stephen Olushola,Kano
1041816,Totmak Farmers Centre,"Total Filling Station, By Arigbajo Lagos Abeokuta Ifo,",Ogun State,8037272478,513,Godwin Esenyie,Ogun State
1041817,Mighty Vet & Agro Consult,"Leadway Estate Mowe, Ogun State",Ogun State,8034813441,605,Dr. Abdulazeez Abiodun Oyetungi,Ogun State
1041818,Kings Care Agro Allied Venture,"KM4, Old Kano Road, Basawa Zaria",Zaria,8065158698,406,Dr.Ize Okeji,Kaduna
1041819,Adibe Somtochukwu Daniel- superior,"Nsukka, Enugu State",Enugu State,8064814650,3,Ian,Enugu
1041821,Topnotch Integrated Farms,"Ado Azunu, Karu LGA, Nassarawa State",Nassarawa State,8035638941,412,Eniolorunda Seun Emmanuel,Nassarawa State
1041822,First Aim Agro Allied,"Ajara Along Olorunda Abaa Road, Akobo Ibadan.",Ibadan,7033346404,509,Folorunso Mark Eniola,Ibadan / Oyo
1041824,Feligold Integrated Farms Ltd,"KM5, Saminaka- Jos Road, Lere LGA Kaduna State",Kaduna State,7081840400,4,Stephen,Kaduna
1041825,Totmut Farm and Animal Health Limited,No1 Irewe Aba Ijebu Ode Ogun Statek,Ogun State,8088313033,5,Peter,Ogun State
1041826,Duroba Farms,"KM, Idiroko Road, Idedo President Paint Busstop, Sango",Lagos State,7036226269,606,Oladeji Simon Olabisi,Lagos
1041827,Roffa Farms,"NO19, Zone B Agala Street Ikire , Osun State",Osun State,8034711077,509,Folorunso Mark Eniola,Osun State
1041828,Jameka Agrik Services Ltd,"NO1, Kachia Road, Opp Jumaat Mosque , Kaduna South Kaduna",Kaduna State,8174351325,4,Stephen,Kaduna
1041829,Pokal Farm,"Ughelli, Delta State",Delta State,7055710403,311,Dr.Ogunwemimo Oluwole Leken,Delta State
104183,A-kaz Farm,"Along Iddo Road, Papa Village Before Road Safety Office",Oyo State,8035426915,501,Lateef,Ibadan / Oyo
1041830,Springs Farm Kaduna,"Birnin Yero, Along Jaji Road , Kaduna State",Kaduna State,8038493087,406,Dr.Ize Okeji,Kaduna
1041832,Juan Sano Farms,"Ondo Street Council, Bustop Idimu Lagos",Lagos State,7063825063,5,Peter,Lagos
1041833,BYK Agricultural Industry Ltd,"Ijebu -ode, Ogun State",Ogun State,8139995974,501,Lateef,Ogun State
1041834,Ase Oluwa Global Ventures,"Okediji Area, Oluwatedo Road, Ilora Oyo State",Oyo State,8037222745,509,Folorunso Mark Eniola,Ibadan / Oyo
1041835,Archive Farm,"Plot 52, Itoko Road Abata Village Osiele Abeokuta Ogun",Ogun State,8035321258,503,Tope,Ogun State
1041837,Jayeola Farms,"Ijebu, Iwuro, Ogun State",Ogun State,9033471604,501,Lateef,Ogun State
1041838,Lady Diamond Feedmills,"Behind Katako Police Station, Katako Jos",Jos,7032234227,407,Stephen Olushola,Jos / Plateau
104184,Dynamic Farm,Owode Estate,Ibadan,8055224992,5,Peter,Ibadan / Oyo
1041840,Joy Farm,"Olakwu, Owerri, Imo State",Imo State,8062385366,3,Ian,Imo State
1041841,Destiny agro $ allied services,off borricamp mammy market portharcourt river state,portharcourt,8160518672,3,Ian,Rivers / PH
1041842,Ileri Oluwa Farm,"NOC3, Pagun Olubo Estate Olodo, Ibadan",Ibadan,8038255496,508,Mr.Adekunle Damilola,Ibadan / Oyo
1041843,EM Poultry Farm,"Agric Irepo, Badagry Lagos",Lagos State,7032144195,5,Peter,Lagos
1041845,IBNROSHEED Livestokonsult,"No. 6, Abiona street, Ibikunle Area, Oshogbo, Osun state",Oshogbo,7034278525,509,Folorunso Mark Eniola,Osun State
1041846,O & J,Odjikpata layout Orhuwhorun Town,Warri,8060081326,3,Ian,Delta State
1041847,BaqiTeqi Farm,"No. 63 Zone B, Temidire Estate, Ologuneru.",Ibadan,7062230006,509,Folorunso Mark Eniola,Ibadan / Oyo
104185,Livestock Feeds,"Henry Carr Street, Lagos",Lagos,8037155172,6,Mr Dayo,Lagos
1041850,Anjola Ayo Farm,"Ayeleye Area, Oke- Diji, Ilora",Oyo,8038280276,509,Folorunso Mark Eniola,Ibadan / Oyo
1041851,Morolayo Feedmill,"Unique Junction, Ebun Epo Akinmorin Road. Oyo.",Oyo,8060899115,509,Folorunso Mark Eniola,Ibadan / Oyo
1041852,Onward Adex Global Feedmill,"Opposite NNPC Filling Stataion, Kara Area Iwo- Osun State",Osun State,8064248466,509,Folorunso Mark Eniola,Osun State
1041853,Adaro Farm,"Funtuna, Kastina State",Kastina State,8065538060,407,Stephen Olushola,Kastina State
1041854,With God,"Pig City Okearo, Lagos State",Lagos State,8028129486,605,Dr. Abdulazeez Abiodun Oyetungi,Lagos
1041855,Water Front Feedmills,"Behind Water Foundation, Dura Village , Bukuru Jos South",Jos,9011919116,407,Stephen Olushola,Jos / Plateau
1041856,Synergy Royale Pig Farm,"Plot6, Block 8, Gberigbe Piggery Estate, gberigbe Ikorodu",Lagos State,7063008544,6,Mr Dayo,Lagos
1041857,Kemfem Poultry Farm,"Beside Blue Roof Hotel Gberigbe, Ikorodu Lagos State",Lagos State,8020755582,606,Oladeji Simon Olabisi,Lagos
1041858,Bejay Agro Industrial Limited,"Akuro, Dabira Street Iperu, Ogun State",Ogun State,8064489276,5,Peter,Ogun State
1041859,E.A.O Farm,Gwagwalada Abuja,Abuja,9059630819,412,Eniolorunda Seun Emmanuel,Abuja / FCT
1041860,Oladele Farms,"NO10, Pipeline Elebu Oluyole Extention, Ibadan",Ibadan,8074520553,513,Godwin Esenyie,Ibadan / Oyo
1041861,Nufa Farm,Fangannu Village Zaria,Zaria,7033331081,406,Dr.Ize Okeji,Kaduna
1041862,Ifeco Farm,"TTC Igbegu, Ebonyi State",Ebonyi State,9065562052,3,Ian,Ebonyi State
1041863,Big Joe Investment Limited,"No1, Omachi Street, Opposite Bori Camp Akuma Gate East",Rumuodomaya Port Harcourt,7037399226,3,Ian,Rivers / PH
